name,team,w,l,era,gs,g,sv,ip,h,er,hr,so,bb,whip,k/9,bb/9,fip,war,ra9-war,adp,playerid,so/bb,winpercentage,ranking
Hayden Howard,Nationals,0.0,0.0,5.42,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.74,5.75,5.7,5.69,0.0,0.0,999.0,sa738994,1.0,0,3192
Cole Wiper,Rangers,0.0,0.0,5.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.33,5.22,5.69,0.0,0.0,999.0,sa599160,1.0,0,3090
Luis Castillo,,0.0,0.0,5.58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.64,6.91,5.26,5.69,0.0,0.0,999.0,sa977665,1.0,0,2995
Tommy Collier,Tigers,0.0,0.0,5.62,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.48,5.3,2.98,5.7,0.0,0.0,999.0,sa503829,0,0,2770
Jefry Rodriguez,Nationals,0.0,0.0,5.57,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7,5.83,5.39,5.7,0.0,0.0,999.0,sa657760,1.0,0,3164
Josh Michalec,Rockies,0.0,0.0,5.77,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.78,6.38,5.9,5.7,0.0,0.0,999.0,sa829266,1.0,0,3206
Boone Whiting,Nationals,0.0,0.0,5.63,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.55,5.65,3.72,5.7,0.0,0.0,999.0,sa549392,0,0,2892
Will Gilbert,Athletics,0.0,0.0,5.43,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.76,5.81,6.04,5.7,0.0,0.0,999.0,sa918097,1.0,0,3220
Stephan Meyer,Pirates,0.0,0.0,5.73,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,4.71,4.6,5.7,0.0,0.0,999.0,sa875772,1.0,0,3231
Jose Veras,Royals,0.0,0.0,5.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.62,5.61,4.44,5.7,0.0,0.0,999.0,sa737362,0,0,3037
Tanner Tully,Indians,0.0,0.0,5.45,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.46,5.24,3.01,5.7,0.0,0.0,999.0,sa873685,0,0,2738
Joaquin Lara,,0.0,0.0,5.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.55,5.46,5.7,0.0,0.0,999.0,sa871171,1.0,0,3074
Jairo Munoz,Rays,0.0,0.0,5.42,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.37,5.63,5.7,0.0,0.0,999.0,sa604117,1.0,0,3085
Rolando Valdez,,0.0,0.0,5.59,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.49,5.29,3.13,5.7,0.0,0.0,999.0,sa325738,0,0,2799
Eder Llamas,,0.0,0.0,5.63,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.58,4.83,3.71,5.71,0.0,0.0,999.0,sa509457,0,0,3002
Genison Reyes,Orioles,0.0,0.0,5.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.61,7.01,4.78,5.71,0.0,0.0,999.0,sa599580,1.0,0,2933
William Oliver,,0.0,0.0,5.74,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.61,5.77,4.17,5.71,0.0,0.0,999.0,sa550026,0,0,3007
Caleb Baragar,Giants,0.0,0.0,5.43,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.63,5.03,4.71,5.71,0.0,0.0,999.0,sa918160,1.0,0,3132
Nick Additon,Rockies,0.0,0.0,5.73,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.52,6.49,3.47,5.71,0.0,0.0,999.0,sa393067,0,0,2754
Melvin Jimenez,Dodgers,0.0,0.0,5.48,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,6.95,5.67,5.71,0.0,0.0,999.0,sa917739,1.0,0,3037
Will Roberts,Indians,0.0,0.0,5.63,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.51,5.22,3.16,5.71,0.0,0.0,999.0,sa577696,0,0,2847
Christian Montgomery,Mets,0.0,0.0,5.48,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.76,7.54,6.76,5.71,0.0,0.0,999.0,sa598177,1.0,0,3103
Bubby Rossman,Dodgers,0.0,0.0,5.42,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.77,5.78,5.71,0.0,0.0,999.0,sa829484,1.0,0,3061
Bryan Radziewski,Astros,0.0,0.0,5.62,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,5.99,4.99,5.71,0.0,0.0,999.0,sa738587,1.0,0,3114
Gavin Wallace,Pirates,0.0,0.0,5.77,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,4.25,4.41,5.71,0.0,0.0,999.0,sa3004102,0,0,3370
Joey DeNato,Phillies,0.0,0.0,5.39,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.63,7.27,5.44,5.71,0.0,0.0,999.0,sa621650,1.0,0,2949
Justin Brantley,Mets,0.0,0.0,5.58,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.62,6.79,5.01,5.71,0.0,0.0,999.0,sa829414,1.0,0,2996
Cody Buckel,Angels,0.0,0.0,5.31,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.95,6.11,5.71,0.0,0.0,999.0,sa548270,1.0,0,3050
Josh Kimborowicz,Dodgers,0.0,0.0,5.56,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.58,6.06,4.33,5.72,0.0,0.0,999.0,sa738307,0,0,2949
Steven Sabatino,Cardinals,0.0,0.0,5.48,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.71,6.1,5.63,5.72,0.0,0.0,999.0,sa658788,1.0,0,3162
Andrew Church,Mets,0.0,0.0,5.68,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.5,5.41,3.01,5.72,0.0,0.0,999.0,sa737545,0,0,2801
Jeffrey Shields,,0.0,0.0,5.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.67,4.48,4.32,5.72,0.0,0.0,999.0,sa548358,0,0,3300
Greg Reynolds,Reds,0.0,0.0,5.72,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.51,5.65,3.05,5.72,0.0,0.0,999.0,5712,0,0,2800
Cesilio Pimentel,Diamondbacks,0.0,0.0,5.64,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,5.72,4.69,5.72,0.0,0.0,999.0,sa603201,1.0,0,3107
Mario Mendoza,,0.0,0.0,5.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,5.02,4.75,5.72,0.0,0.0,999.0,sa198436,1.0,0,3203
Emerson Martinez,Rangers,0.0,0.0,5.79,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.61,5.41,3.94,5.72,0.0,0.0,999.0,sa747285,0,0,3020
Jon Moscot,Reds,0.0,0.0,5.67,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.52,6.43,3.52,5.72,0.0,0.0,999.0,13849,0,0,2757
Ryan Eades,Twins,0.0,0.0,5.69,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.56,6.18,4.09,5.72,0.0,0.0,999.0,sa549448,0,0,2911
Ethan Elias,Diamondbacks,0.0,0.0,5.74,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,5.66,4.61,5.72,0.0,0.0,999.0,sa599224,1.0,0,3124
Peter Lambert,Rockies,0.0,0.0,5.93,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.6,5.99,3.81,5.72,0.0,0.0,999.0,sa874771,0,0,2957
Jesus Carrillo,,0.0,0.0,5.45,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.72,5.79,5.6,5.72,0.0,0.0,999.0,sa745946,1.0,0,3189
Jesus Tinoco,Rockies,0.0,1.0,5.8,0.0,10.0,0.0,10.0,12.0,6.0,2.0,7.0,5.0,1.62,5.97,4.16,5.72,-0.1,-0.1,999.0,sa657723,1.4,0.0,2423
Misael Verduzco,,0.0,0.0,5.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,6.62,5.45,5.72,0.0,0.0,999.0,sa652171,1.0,0,3072
Zac Houston,Tigers,0.0,0.0,5.46,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7,7.84,6.5,5.72,0.0,0.0,999.0,sa874155,1.0,0,3034
Enrique Lechuga,,0.0,0.0,5.62,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.61,4.78,3.92,5.72,0.0,0.0,999.0,sa455890,0,0,3084
Henry Martinez,Indians,0.0,0.0,5.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.66,5.7,4.93,5.72,0.0,0.0,999.0,sa828216,1.0,0,3132
Ryan Riga,White Sox,0.0,0.0,5.38,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.74,6.09,5.91,5.73,0.0,0.0,999.0,sa827479,1.0,0,3174
Brandon Huez,,0.0,0.0,5.43,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.75,6.96,6.44,5.73,0.0,0.0,999.0,sa824921,1.0,0,3116
Francisco Gil,,0.0,0.0,5.62,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.66,5.71,4.84,5.73,0.0,0.0,999.0,sa393318,1.0,0,3140
Starlyn Suriel,Blue Jays,0.0,0.0,5.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.52,6.89,4.05,5.73,0.0,0.0,999.0,sa829880,0,0,2801
Dylan Rheault,Giants,0.0,0.0,5.45,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.73,5.67,5.97,5.73,0.0,0.0,999.0,sa738309,1.0,0,3256
Michael Boyle,Dodgers,0.0,0.0,5.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.56,5.66,4.18,5.73,0.0,0.0,999.0,sa857604,0,0,2990
Marcos Machado,,0.0,0.0,5.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.64,5.94,4.86,5.73,0.0,0.0,999.0,sa916571,1.0,0,3124
Shaun Garceau,,0.0,0.0,5.77,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.59,5.27,3.79,5.73,0.0,0.0,999.0,sa294454,0,0,3092
Zack Brown,Brewers,0.0,0.0,5.84,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,6.34,4.61,5.73,0.0,0.0,999.0,sa738901,1.0,0,3098
Anthony Vasquez,Tigers,0.0,0.0,5.48,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.49,4.98,3.21,5.73,0.0,0.0,999.0,6577,0,0,2924
Jason Garcia,Orioles,0.0,0.0,5.66,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.62,6.47,4.64,5.73,0.0,0.0,999.0,12143,1.0,0,3055
Justin Donatella,Diamondbacks,0.0,0.0,5.72,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.56,5.66,3.84,5.73,0.0,0.0,999.0,sa875616,0,0,3039
Corey Kimber,Padres,0.0,0.0,5.59,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.73,6.65,5.97,5.73,0.0,0.0,999.0,sa658609,1.0,0,3197
Albert Abreu,Yankees,1.0,2.0,5.49,0.0,30.0,0.0,30.0,31.0,18.0,5.0,25.0,20.0,1.69,7.55,6.04,5.73,-0.3,-0.3,999.0,sa828366,1.25,0.5,1787
Alejandro Barraza,,0.0,0.0,5.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,5.82,5.25,5.73,0.0,0.0,999.0,sa503482,1.0,0,3212
Tim Ingram,Rays,0.0,0.0,5.46,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,5.78,5.07,5.74,0.0,0.0,999.0,sa876062,1.0,0,3158
Ryan Moseley,Dodgers,0.0,0.0,5.45,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.75,6.21,6.16,5.74,0.0,0.0,999.0,sa738670,1.0,0,3252
Jasiel Acosta,,0.0,0.0,5.54,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,5.92,4.84,5.74,0.0,0.0,999.0,sa202428,1.0,0,3135
Jordan Piche,Angels,0.0,0.0,5.44,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.61,5.79,4.77,5.74,0.0,0.0,999.0,sa829571,1.0,0,3102
Yonardo Herdenez,Blue Jays,0.0,0.0,5.71,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.55,6.34,3.97,5.74,0.0,0.0,999.0,sa737092,0,0,2972
Anyelo Leclerc,Red Sox,0.0,0.0,5.74,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.56,6.52,4.23,5.74,0.0,0.0,999.0,sa551970,0,0,3000
Sandro Cabrera,Giants,0.0,0.0,5.28,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.76,6.43,6.72,5.74,0.0,0.0,999.0,sa873292,1.0,0,3230
Akeem Bostick,Astros,0.0,0.0,5.69,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.54,5.82,3.71,5.74,0.0,0.0,999.0,sa737616,0,0,2986
Phil Morse,Nationals,0.0,0.0,5.59,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.77,6.61,6.29,5.74,0.0,0.0,999.0,sa918349,1.0,0,3233
Blair Walters,White Sox,0.0,0.0,5.48,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,6.05,5.04,5.74,0.0,0.0,999.0,sa598185,1.0,0,3116
Yorman Landa,Twins,0.0,0.0,5.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.75,6.54,6.09,5.74,0.0,0.0,999.0,sa597276,1.0,0,3226
Andres Garcia,,0.0,0.0,5.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7,6.45,5.55,5.74,0.0,0.0,999.0,sa653707,1.0,0,3172
Kyle Simonds,Nationals,0.0,0.0,5.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.66,5.6,4.76,5.74,0.0,0.0,999.0,sa918321,1.0,0,3176
Chaz Hebert,Yankees,0.0,0.0,5.49,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.48,6.44,3.54,5.74,0.0,0.0,999.0,sa599381,0,0,2789
Michael Theofanopoulos,Twins,0.0,0.0,5.48,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,7.09,5.89,5.74,0.0,0.0,999.0,sa709017,1.0,0,3092
Dereck Rodriguez,Twins,0.0,0.0,5.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.53,5.77,3.58,5.74,0.0,0.0,999.0,sa597982,0,0,2963
Adam Oller,Pirates,0.0,0.0,5.72,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.75,5.55,5.51,5.74,0.0,0.0,999.0,sa913099,1.0,0,3312
Juan Rodriguez,,0.0,0.0,5.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.65,5.31,4.64,5.74,0.0,0.0,999.0,sa652485,1.0,0,3182
Matt Custred,Braves,0.0,0.0,5.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.79,7.87,7.23,5.74,0.0,0.0,999.0,sa876065,1.0,0,3162
Eric Dorsch,Pirates,0.0,0.0,5.64,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.8,5.53,6.04,5.74,0.0,0.0,999.0,sa738722,1.0,0,3369
Roberto Padilla,,0.0,0.0,5.59,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,5.14,4.88,5.75,0.0,0.0,999.0,sa549660,1.0,0,3250
Francisco Haro,,0.0,0.0,5.58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,6.62,5.49,5.75,0.0,0.0,999.0,sa868960,1.0,0,3124
Felipe Paulino,White Sox,0.0,0.0,5.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.62,6.67,4.74,5.75,0.0,0.0,999.0,3777,1.0,0,3044
Kevin Guzman,Marlins,0.0,0.0,5.79,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,5.54,4.99,5.75,0.0,0.0,999.0,sa739328,1.0,0,3254
Cody Forsythe,Phillies,0.0,0.0,5.45,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,7.24,5.73,5.75,0.0,0.0,999.0,sa738372,1.0,0,3055
Sam McWilliams,Diamondbacks,0.0,0.0,5.74,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.63,4.99,4.18,5.75,0.0,0.0,999.0,sa829124,0,0,3206
Dixon Llorens,Angels,0.0,0.0,5.38,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,6.42,5.81,5.75,0.0,0.0,999.0,sa658625,1.0,0,3145
Ulises Lopez,,0.0,0.0,5.59,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.74,5.89,5.74,5.75,0.0,0.0,999.0,sa897261,1.0,0,3264
