name,team,w,l,era,gs,g,sv,ip,h,er,hr,so,bb,whip,k/9,bb/9,fip,war,ra9-war,adp,playerid,so/bb,winpercentage,ranking
Ubaldo Jimenez,,8.0,9.0,4.67,26.0,26.0,0.0,141.0,141.0,73.0,19.0,126.0,60.0,1.43,8.04,3.86,4.57,1.5,1.2,999.0,3374,2.1,0.8888888888888888,1064
Bradley Roney,Braves,0.0,0.0,4.28,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.56,10.5,6.54,4.57,0.0,0.0,999.0,sa598926,1.0,0,1880
David Roseboom,Mets,0.0,0.0,4.33,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.44,7.91,4.1,4.57,0.0,0.0,999.0,sa550321,0,0,1624
Kyle Drabek,Diamondbacks,0.0,0.0,4.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.47,6.76,3.71,4.57,0.0,0.0,999.0,4359,0,0,1735
C.J. Robinson,Marlins,0.0,0.0,4.48,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.52,7.42,4.61,4.57,0.0,0.0,999.0,sa737907,1.0,0,1848
Chase Huchingson,Mets,0.0,0.0,4.24,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.54,8.19,5.19,4.57,0.0,0.0,999.0,sa455464,1.0,0,1835
David Aardsma,Braves,0.0,0.0,4.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.4,9.23,4.2,4.57,0.0,0.0,999.0,1902,0,0,1576
Kody Kerski,Mariners,0.0,0.0,4.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.42,7.13,3.49,4.58,0.0,0.0,999.0,sa827378,0,0,1615
Nick Tropeano,Angels,5.0,4.0,4.35,13.0,13.0,0.0,73.0,69.0,35.0,11.0,66.0,27.0,1.32,8.14,3.37,4.58,0.7,0.8,644.3,12385,2.4444444444444446,1.25,806
Giovanni Soto,Indians,0.0,0.0,4.26,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.49,8.34,4.87,4.58,0.0,0.0,999.0,10330,1.0,0,1751
Wander Suero,Nationals,0.0,0.0,4.45,0.0,10.0,0.0,10.0,10.0,5.0,1.0,9.0,4.0,1.4,7.94,3.75,4.58,0.0,0.0,999.0,sa548041,2.25,0,1294
D.J. Myers,Giants,0.0,0.0,4.47,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.42,6.23,3.29,4.58,0.0,0.0,999.0,sa918356,0,0,1699
Salvador Sanchez,,0.0,0.0,4.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,7.86,3.75,4.58,0.0,0.0,999.0,sa291439,0,0,1604
Anthony Varvaro,Red Sox,0.0,0.0,4.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.44,7.41,3.7,4.58,0.0,0.0,999.0,2385,0,0,1669
Dana Eveland,Rays,0.0,0.0,4.28,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.41,7.11,3.68,4.58,0.0,0.0,999.0,5508,0,0,1608
Scott Atchison,Indians,0.0,0.0,4.54,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.4,6.24,2.74,4.58,0.0,0.0,999.0,2642,0,0,1633
Elvis Araujo,Phillies,0.0,0.0,4.38,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.44,8.94,4.48,4.58,0.0,0.0,999.0,12854,0,0,1633
Frank Garces,Padres,0.0,0.0,4.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,8.22,3.82,4.58,0.0,0.0,999.0,13144,0,0,1540
Chad Rogers,Braves,0.0,0.0,4.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,8.3,3.94,4.58,0.0,0.0,999.0,sa549784,0,0,1605
Jacob Turner,Marlins,5.0,6.0,4.7,13.0,38.0,0.0,98.0,104.0,51.0,12.0,76.0,41.0,1.48,7.0,3.75,4.58,0.6,0.3,999.0,10185,1.853658536585366,0.8333333333333334,1222
Matt Anderson,Mariners,0.0,0.0,4.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.39,7.52,3.46,4.58,0.0,0.0,999.0,sa602589,0,0,1543
Carlos Villanueva,Padres,0.0,0.0,4.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.36,7.4,2.91,4.58,0.0,0.0,999.0,4138,0,0,1493
Philip Pfeifer,Braves,0.0,0.0,4.26,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.53,9.64,5.83,4.58,0.0,0.0,999.0,sa602699,1.0,0,1819
Yhonathan Barrios,Brewers,0.0,0.0,4.64,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.43,8.58,3.91,4.58,0.0,0.0,999.0,11166,0,0,1594
Jayson Aquino,Orioles,3.0,3.0,4.4,0.0,55.0,0.0,55.0,58.0,27.0,8.0,43.0,19.0,1.38,7.1,3.04,4.58,0.1,0.2,999.0,13150,2.263157894736842,1.0,944
Robert Benincasa,Nationals,0.0,0.0,4.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.41,8.52,4.01,4.59,0.0,0.0,999.0,sa502783,0,0,1571
Tim Cooney,Cardinals,0.0,0.0,4.47,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.34,7.55,2.94,4.59,0.0,0.0,999.0,13762,0,0,1444
Cory Rasmus,Angels,0.0,0.0,4.33,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.34,8.53,3.68,4.59,0.0,0.0,999.0,2413,0,0,1438
Dan Straily,Marlins,10.0,12.0,4.61,31.0,31.0,0.0,182.0,182.0,94.0,29.0,162.0,64.0,1.34,8.01,3.13,4.59,1.6,1.3,316.9,9460,2.53125,0.8333333333333334,847
Jandel Gustave,Astros,1.0,0.0,4.46,0.0,10.0,0.0,10.0,10.0,5.0,1.0,10.0,5.0,1.44,8.61,4.36,4.59,0.0,0.0,999.0,14665,2.0,0,1268
Bryan Evans,Mariners,0.0,0.0,4.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.31,7.65,2.53,4.59,0.0,0.0,999.0,sa455162,0,0,1416
Louis Head,Indians,0.0,0.0,4.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.43,8.25,4.2,4.59,0.0,0.0,999.0,sa658343,0,0,1609
Layne Somsen,Reds,0.0,0.0,4.37,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.48,8.92,4.91,4.59,0.0,0.0,999.0,15301,1.0,0,1729
Eric Skoglund,Royals,7.0,9.0,4.47,16.0,71.0,0.0,142.0,145.0,71.0,21.0,116.0,48.0,1.36,7.35,3.04,4.59,0.7,1.2,709.0,16155,2.4166666666666665,0.7777777777777778,909
Andrew Morales,Cardinals,0.0,0.0,4.48,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.37,7.43,3.27,4.59,0.0,0.0,999.0,sa828705,0,0,1506
Justin Haley,Twins,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.34,7.29,2.84,4.59,0.0,0.0,999.0,13572,0,0,1463
Chris Reed,Marlins,0.0,0.0,4.38,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.47,7.71,4.37,4.59,0.0,0.0,999.0,12801,0,0,1715
Jeremy McBryde,Angels,0.0,0.0,4.31,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.33,8.23,3.52,4.59,0.0,0.0,999.0,sa328275,0,0,1430
Edgar Olmos,Mariners,0.0,0.0,4.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.42,8.0,4.06,4.59,0.0,0.0,999.0,10174,0,0,1589
Mason Melotakis,Twins,0.0,0.0,4.41,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.45,8.24,4.26,4.59,0.0,0.0,999.0,sa621016,0,0,1637
Manny Parra,Reds,0.0,0.0,4.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.43,8.28,4.0,4.59,0.0,0.0,999.0,4279,0,0,1583
Tyler Bray,Cardinals,0.0,0.0,4.39,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.51,7.33,4.59,4.59,0.0,0.0,999.0,sa829423,1.0,0,1824
Jose Valdez,Padres,0.0,0.0,4.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.43,9.04,4.5,4.59,0.0,0.0,999.0,14470,1.0,0,1633
Zach Petrick,Cardinals,0.0,0.0,4.61,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.35,6.63,2.46,4.59,0.0,0.0,999.0,sa659444,0,0,1532
Keury Mella,Reds,0.0,1.0,4.42,0.0,10.0,0.0,10.0,10.0,5.0,1.0,9.0,4.0,1.37,8.13,3.47,4.59,0.0,0.0,999.0,15964,2.25,0.0,1204
Joel Peralta,Cubs,0.0,0.0,4.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.28,8.7,2.95,4.59,0.0,0.0,999.0,2332,0,0,1333
Frank Herrmann,Phillies,0.0,0.0,4.54,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.32,8.51,3.05,4.6,0.0,0.0,999.0,7960,0,0,1378
Emilio Pagan,Athletics,2.0,2.0,4.51,0.0,45.0,0.0,45.0,42.0,23.0,7.0,45.0,17.0,1.32,8.98,3.49,4.6,0.0,0.0,618.2,14771,2.6470588235294117,1.0,847
Neil Holland,Indians,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,6.68,2.99,4.6,0.0,0.0,999.0,sa548553,0,0,1564
Jeanmar Gomez,Phillies,0.0,0.0,4.55,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.43,6.85,3.18,4.6,0.0,0.0,999.0,9033,0,0,1607
Brian Broderick,Royals,0.0,0.0,4.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.44,6.54,3.4,4.6,0.0,0.0,999.0,3773,0,0,1681
Jordan Montgomery,Yankees,11.0,9.0,4.5,28.0,38.0,0.0,163.0,163.0,81.0,26.0,147.0,59.0,1.36,8.11,3.23,4.6,1.9,1.9,248.1,16511,2.4915254237288136,1.2222222222222223,808
Aaron Northcraft,Padres,0.0,0.0,4.53,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.46,7.13,3.83,4.6,0.0,0.0,999.0,sa501597,0,0,1704
Michael Jensen,Cubs,0.0,0.0,4.37,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.48,8.1,4.66,4.6,0.0,0.0,999.0,sa599280,1.0,0,1735
Johnny Shuttlesworth,Diamondbacks,0.0,0.0,4.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,7.71,3.31,4.6,0.0,0.0,999.0,sa738406,0,0,1523
Ricardo Rodriguez,Rangers,0.0,0.0,4.63,0.0,10.0,0.0,10.0,10.0,5.0,2.0,9.0,4.0,1.4,8.54,3.64,4.6,0.0,0.1,999.0,15458,2.25,0,1265
Anibal Sanchez,,0.0,0.0,4.67,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.34,7.91,2.93,4.6,0.0,0.0,666.4,3284,0,0,1444
Kyle Lobstein,Pirates,0.0,0.0,4.44,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.49,6.51,3.8,4.6,0.0,0.0,999.0,9178,0,0,1774
Robert Morey,Marlins,0.0,0.0,4.67,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.46,6.43,3.46,4.6,0.0,0.0,999.0,sa392218,0,0,1750
Jairo Asencio,Orioles,0.0,0.0,4.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,8.23,3.39,4.6,0.0,0.0,999.0,3332,0,0,1493
Eduardo Paredes,Angels,2.0,2.0,4.33,0.0,35.0,0.0,35.0,33.0,17.0,5.0,31.0,14.0,1.35,8.1,3.65,4.6,0.0,0.1,999.0,16344,2.2142857142857144,1.0,939
Jonathan Albaladejo,Mets,0.0,0.0,4.59,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.37,6.84,2.77,4.6,0.0,0.0,999.0,3521,0,0,1540
Thomas Lee,Cardinals,0.0,0.0,4.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.38,6.61,2.82,4.6,0.0,0.0,999.0,sa659442,0,0,1559
Chris O'Grady,Marlins,1.0,1.0,4.47,2.0,2.0,0.0,9.0,9.0,4.0,1.0,7.0,4.0,1.4,7.21,3.52,4.6,0.1,0.1,999.0,13818,1.75,1.0,1107
Harold Arauz,Phillies,0.0,0.0,4.52,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,7.44,3.23,4.6,0.0,0.0,999.0,sa657710,0,0,1516
Corey Taylor,Mets,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.41,7.18,3.32,4.6,0.0,0.0,999.0,sa827144,0,0,1572
Jorgan Cavanerio,Marlins,0.0,0.0,4.65,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.41,5.76,2.67,4.61,0.0,0.0,999.0,sa598143,0,0,1695
Kyle Crick,Pirates,2.0,2.0,4.43,0.0,45.0,0.0,45.0,42.0,22.0,5.0,43.0,25.0,1.5,8.66,5.01,4.61,0.0,0.0,671.8,13182,1.72,1.0,1251
Josh Collmenter,Braves,0.0,0.0,4.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.34,7.35,2.7,4.61,0.0,0.0,999.0,7312,0,0,1450
Tyler Waldron,Cardinals,0.0,0.0,4.62,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.4,6.59,2.87,4.61,0.0,0.0,999.0,sa545242,0,0,1591
Taylor Jungmann,Brewers,0.0,0.0,4.66,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.47,8.77,4.37,4.61,0.0,0.0,999.0,13119,0,0,1687
Drew Rucinski,Twins,0.0,0.0,4.58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.35,7.21,2.72,4.61,0.0,0.0,999.0,12499,0,0,1480
Josh Hodges,Marlins,0.0,0.0,4.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.47,7.5,4.12,4.61,0.0,0.0,999.0,sa501515,0,0,1733
Mike Pelfrey,,2.0,2.0,4.64,0.0,40.0,0.0,40.0,44.0,21.0,5.0,28.0,14.0,1.43,6.26,3.08,4.61,0.0,0.0,999.0,5203,2.0,1.0,1176
Cole Hamels,Rangers,12.0,12.0,4.69,32.0,32.0,0.0,201.0,210.0,105.0,29.0,168.0,76.0,1.42,7.5,3.39,4.61,2.3,2.3,238.5,4972,2.210526315789474,1.0,995
Scott Barlow,Royals,2.0,2.0,4.49,2.0,37.0,0.0,44.0,42.0,22.0,6.0,42.0,20.0,1.41,8.49,4.15,4.61,0.1,0.2,999.0,sa597976,2.1,1.0,1060
Josh Edgin,Mets,0.0,0.0,4.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.46,8.1,4.29,4.61,0.0,0.0,999.0,10796,0,0,1673
Jake Peavy,Giants,0.0,0.0,4.55,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.34,7.01,2.83,4.61,0.0,0.0,999.0,1051,0,0,1501
Danny Barnes,Blue Jays,3.0,3.0,4.57,0.0,55.0,2.0,55.0,52.0,28.0,10.0,54.0,19.0,1.3,8.87,3.13,4.62,0.0,0.1,999.0,11388,2.8421052631578947,1.0,782
Peter Tago,Mariners,0.0,0.0,4.36,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.47,8.98,4.99,4.62,0.0,0.0,999.0,sa548162,1.0,0,1685
Barry Enright,Angels,0.0,0.0,4.38,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.28,5.88,1.97,4.62,0.0,0.0,999.0,2412,0,0,1556
Mike Clevinger,Indians,10.0,9.0,4.46,29.0,29.0,0.0,160.0,149.0,79.0,25.0,160.0,72.0,1.38,8.96,4.03,4.62,1.6,2.1,215.3,12808,2.2222222222222223,1.1111111111111112,899
Tristan Archer,Brewers,0.0,0.0,4.7,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.38,7.69,2.96,4.62,0.0,0.0,999.0,sa503277,0,0,1515
Rafael Dolis,Cubs,0.0,0.0,4.36,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.48,8.05,4.74,4.62,0.0,0.0,999.0,4185,1.0,0,1725
Jon Niese,Mets,0.0,0.0,4.56,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.43,6.59,3.06,4.62,0.0,0.0,999.0,4424,0,0,1658
Kevin Herget,Cardinals,0.0,0.0,4.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,7.58,3.31,4.62,0.0,0.0,999.0,sa738986,0,0,1553
Steve Johnson,Mariners,0.0,0.0,4.48,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.36,8.7,3.68,4.62,0.0,0.0,999.0,4053,0,0,1489
Zeke Spruill,Diamondbacks,0.0,0.0,4.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.41,6.57,3.01,4.62,0.0,0.0,999.0,3873,0,0,1634
Paolo Espino,Rangers,0.0,0.0,4.67,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.31,7.45,2.3,4.62,0.0,0.0,999.0,8246,0,0,1453
Eric Karch,Angels,0.0,0.0,4.39,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.36,6.87,3.14,4.62,0.0,0.0,999.0,sa827415,0,0,1534
Joe Mantiply,Tigers,0.0,0.0,4.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.37,6.93,3.11,4.62,0.0,0.0,999.0,14857,0,0,1511
Tom Harlan,Pirates,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.41,7.05,3.32,4.62,0.0,0.0,999.0,sa658235,0,0,1578
Nicholas Frey,Cardinals,0.0,0.0,4.55,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.47,6.58,3.64,4.62,0.0,0.0,999.0,sa738526,0,0,1778
James Simmons,Nationals,0.0,0.0,4.65,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.35,7.41,2.73,4.62,0.0,0.0,999.0,sa389395,0,0,1461
Corbin Burnes,Brewers,0.0,0.0,4.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.44,7.86,3.56,4.62,0.0,0.0,646.4,sa873673,0,0,1630
Justin Hancock,Cubs,0.0,0.0,4.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.43,7.87,4.0,4.63,0.0,0.0,999.0,sa598262,0,0,1653
Benino Pruneda,,0.0,0.0,4.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.48,8.76,4.9,4.63,0.0,0.0,999.0,sa401631,1.0,0,1747
Kyle Hooper,Dodgers,0.0,0.0,4.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.38,8.47,3.91,4.63,0.0,0.0,999.0,sa502347,0,0,1557
Brett Kennedy,Padres,0.0,0.0,4.55,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,7.72,3.48,4.63,0.0,0.0,999.0,sa875359,0,0,1572
Seth Lugo,Mets,7.0,9.0,4.63,24.0,24.0,0.0,137.0,145.0,71.0,22.0,108.0,41.0,1.35,7.09,2.66,4.63,1.3,0.8,539.9,12447,2.6341463414634148,0.7777777777777778,916
Matt Belisle,Twins,0.0,0.0,4.62,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,6.95,3.2,4.63,0.0,0.0,547.8,1837,0,0,1654
Hector Hernandez,Diamondbacks,0.0,0.0,4.53,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,7.64,3.61,4.63,0.0,0.0,999.0,sa501640,0,0,1628
Wei-Chung Wang,Brewers,0.0,0.0,4.61,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.38,7.6,2.95,4.63,0.0,0.0,999.0,14382,0,0,1533
Brandon Waddell,Pirates,0.0,0.0,4.49,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.52,6.9,4.3,4.63,0.0,0.0,999.0,sa875075,0,0,1882
Ross Vance,Cardinals,0.0,0.0,4.41,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.49,7.25,4.26,4.63,0.0,0.0,999.0,sa913143,0,0,1797
Eric Lauer,Padres,0.0,0.0,4.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.38,7.97,3.55,4.63,0.0,0.0,999.0,sa738156,0,0,1540
Yacksel Rios,Phillies,1.0,2.0,4.46,0.0,30.0,0.0,30.0,28.0,15.0,4.0,29.0,13.0,1.39,8.69,3.95,4.63,0.0,0.0,999.0,15007,2.230769230769231,0.5,1046
Jerry Vasto,Rockies,0.0,0.0,4.58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.48,8.81,4.47,4.63,0.0,0.0,999.0,sa829502,0,0,1740
Ramon Benjamin,Padres,0.0,0.0,4.36,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.47,7.71,4.32,4.63,0.0,0.0,999.0,sa393218,0,0,1744
Greg Nappo,Marlins,0.0,0.0,4.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.43,8.04,4.15,4.63,0.0,0.0,999.0,sa599112,0,0,1663
Tyler Wagner,Diamondbacks,0.0,0.0,4.58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.43,7.17,3.55,4.63,0.0,0.0,999.0,13796,0,0,1677
Stephen Shackleford,Phillies,0.0,0.0,4.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.41,8.62,4.02,4.63,0.0,0.0,999.0,sa549913,0,0,1599
Greg Smith,Braves,0.0,0.0,4.52,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.38,6.56,2.79,4.63,0.0,0.0,999.0,3455,0,0,1603
Dietrich Enns,Twins,0.0,0.0,4.44,0.0,10.0,0.0,10.0,10.0,5.0,2.0,9.0,4.0,1.38,8.12,3.64,4.63,0.0,0.1,999.0,13932,2.25,0,1256
Logan Bawcom,Padres,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,8.27,4.01,4.63,0.0,0.0,999.0,sa549287,0,0,1630
Ryan Carpenter,Tigers,2.0,2.0,4.45,5.0,15.0,0.0,38.0,37.0,19.0,6.0,32.0,12.0,1.3,7.74,2.81,4.63,0.3,0.4,999.0,sa455439,2.6666666666666665,1.0,835
Ryan Webb,Rays,0.0,0.0,4.49,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.44,6.17,3.41,4.64,0.0,0.0,999.0,7474,0,0,1764
Brian Dupra,Nationals,0.0,0.0,4.57,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.46,7.73,4.01,4.64,0.0,0.0,999.0,sa526184,0,0,1723
Adam Parks,Rangers,0.0,0.0,4.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.39,8.66,3.72,4.64,0.0,0.0,999.0,sa829657,0,0,1562
Javy Guerra,Marlins,0.0,0.0,4.56,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.5,7.39,4.41,4.64,0.0,0.0,999.0,7407,0,0,1840
Carlos Hernandez,,0.0,0.0,4.51,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.35,5.89,2.2,4.64,0.0,0.0,999.0,sa393410,0,0,1637
Jeff Walters,Mets,0.0,0.0,4.54,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,7.86,3.76,4.64,0.0,0.0,999.0,sa328221,0,0,1627
Brooks Pounders,Angels,1.0,1.0,4.38,0.0,30.0,0.0,30.0,28.0,15.0,5.0,28.0,12.0,1.33,8.43,3.52,4.64,0.0,0.0,748.0,10387,2.3333333333333335,1.0,904
Arcenio Leon,Tigers,0.0,0.0,4.44,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.48,7.24,4.29,4.64,0.0,0.0,999.0,8846,0,0,1798
Jake Zokan,Mariners,0.0,0.0,4.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.38,7.53,3.32,4.64,0.0,0.0,999.0,sa737880,0,0,1535
Winston Abreu,,0.0,0.0,4.52,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.47,8.25,4.47,4.64,0.0,0.0,999.0,582,0,0,1740
Zech Lemond,Padres,0.0,0.0,4.52,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.38,7.23,3.18,4.64,0.0,0.0,999.0,sa602584,0,0,1562
Vince Velasquez,Phillies,7.0,7.0,4.6,21.0,21.0,0.0,115.0,111.0,59.0,19.0,115.0,45.0,1.36,9.04,3.56,4.64,1.3,1.0,382.1,11189,2.5555555555555554,1.0,853
Matt Purke,White Sox,0.0,0.0,4.38,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.49,8.8,4.87,4.64,0.0,0.0,999.0,12831,1.0,0,1779
Lisalverto Bonilla,Reds,0.0,0.0,4.54,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,8.31,3.94,4.64,0.0,0.0,999.0,11266,0,0,1654
Daniel Burawa,Braves,0.0,0.0,4.51,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.53,8.25,5.06,4.64,0.0,0.0,999.0,11397,1.0,0,1908
Justin Marks,Rays,0.0,0.0,4.26,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.39,8.12,4.07,4.64,0.0,0.0,999.0,10265,0,0,1641
Alex Wilson,Tigers,3.0,3.0,4.57,0.0,65.0,5.0,65.0,69.0,33.0,10.0,47.0,20.0,1.37,6.55,2.76,4.64,0.0,0.1,650.2,9239,2.35,1.0,1001
Dalier Hinojosa,Phillies,0.0,0.0,4.52,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.42,8.6,4.1,4.64,0.0,0.0,999.0,15671,0,0,1690
Iden Nazario,Cardinals,0.0,0.0,4.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.45,8.05,4.26,4.64,0.0,0.0,999.0,sa545221,0,0,1762
Marco Gonzales,Mariners,5.0,5.0,4.48,11.0,31.0,0.0,81.0,83.0,41.0,13.0,67.0,27.0,1.35,7.38,3.01,4.64,0.5,0.5,660.6,15467,2.4814814814814814,1.0,880
